rate_date,currency_code,rate_to_usd,source
2026-07-08,USD,1.0,ECB
2026-07-09,USD,1.0,ECB
2026-07-10,USD,1.0,ECB
2026-07-11,USD,1.0,ECB
2026-07-12,USD,1.0,ECB
2026-07-13,USD,1.0,ECB
2026-07-14,USD,1.0,ECB
2026-07-15,USD,1.0,ECB
2026-07-16,USD,1.0,ECB
2026-07-17,USD,1.0,ECB
2026-07-18,USD,1.0,ECB
2026-07-19,USD,1.0,ECB
2026-07-20,USD,1.0,ECB
2026-07-21,USD,1.0,ECB
2026-07-22,USD,1.0,ECB
2026-07-23,USD,1.0,ECB
2026-07-24,USD,1.0,ECB
2026-07-25,USD,1.0,ECB
2026-07-26,USD,1.0,ECB
2026-07-27,USD,1.0,ECB
2026-07-28,USD,1.0,ECB
2026-07-29,USD,1.0,ECB
2026-07-30,USD,1.0,ECB
2026-07-31,USD,1.0,ECB
2026-08-01,USD,1.0,ECB
2026-08-02,USD,1.0,ECB
2026-08-03,USD,1.0,ECB
2026-08-04,USD,1.0,ECB
2026-08-05,USD,1.0,ECB
2026-08-06,USD,1.0,ECB
2026-08-07,USD,1.0,ECB
2026-08-08,USD,1.0,ECB
2026-08-09,USD,1.0,ECB
2026-08-10,USD,1.0,ECB
2026-08-11,USD,1.0,ECB
2026-08-12,USD,1.0,ECB
2026-08-13,USD,1.0,ECB
2026-08-14,USD,1.0,ECB
2026-08-15,USD,1.0,ECB
2026-08-16,USD,1.0,ECB
2026-08-17,USD,1.0,ECB
2026-08-18,USD,1.0,ECB
2026-08-19,USD,1.0,ECB
2026-08-20,USD,1.0,ECB
2026-08-21,USD,1.0,ECB
2026-08-22,USD,1.0,ECB
2026-08-23,USD,1.0,ECB
2026-08-24,USD,1.0,ECB
2026-08-25,USD,1.0,ECB
2026-08-26,USD,1.0,ECB
2026-08-27,USD,1.0,ECB
2026-08-28,USD,1.0,ECB
2026-08-29,USD,1.0,ECB
2026-08-30,USD,1.0,ECB
2026-08-31,USD,1.0,ECB
2026-09-01,USD,1.0,ECB
2026-09-02,USD,1.0,ECB
2026-09-03,USD,1.0,ECB
2026-09-04,USD,1.0,ECB
2026-09-05,USD,1.0,ECB
2026-09-06,USD,1.0,ECB
2026-09-07,USD,1.0,ECB
2026-09-08,USD,1.0,ECB
2026-09-09,USD,1.0,ECB
2026-09-10,USD,1.0,ECB
2026-09-11,USD,1.0,ECB
2026-09-12,USD,1.0,ECB
2026-09-13,USD,1.0,ECB
2026-09-14,USD,1.0,ECB
2025-09-14,EUR,1.08160935,ECB
2025-09-15,EUR,1.08116071,ECB
2025-09-16,EUR,1.08326148,ECB
2025-09-17,EUR,1.08821099,ECB
2025-09-18,EUR,1.08744657,ECB
2025-09-19,EUR,1.08668274,ECB
2025-09-20,EUR,1.09183105,ECB
2025-09-21,EUR,1.09434477,ECB
2025-09-22,EUR,1.09280347,ECB
2025-09-23,EUR,1.09458221,ECB
2025-09-24,EUR,1.09306046,ECB
2025-09-25,EUR,1.09153325,ECB
2025-09-26,EUR,1.09232558,ECB
2025-09-27,EUR,1.0860558,ECB
2025-09-28,EUR,1.08043573,ECB
2025-09-29,EUR,1.07861319,ECB
2025-09-30,EUR,1.07533583,ECB
2025-10-01,EUR,1.07634959,ECB
2025-10-02,EUR,1.07341754,ECB
2025-10-03,EUR,1.06886956,ECB
2025-10-04,EUR,1.07356932,ECB
2025-10-05,EUR,1.07284216,ECB
2025-10-06,EUR,1.07305951,ECB
2025-10-07,EUR,1.06847299,ECB
2025-10-08,EUR,1.06672801,ECB
2025-10-09,EUR,1.06708298,ECB
2025-10-10,EUR,1.06339837,ECB
2025-10-11,EUR,1.06459692,ECB
2025-10-12,EUR,1.0626786,ECB
2025-10-13,EUR,1.06174867,ECB
2025-10-14,EUR,1.05983209,ECB
2025-10-15,EUR,1.0657214,ECB
2025-10-16,EUR,1.06567825,ECB
2025-10-17,EUR,1.06229671,ECB
2025-10-18,EUR,1.06491807,ECB
2025-10-19,EUR,1.06101777,ECB
2025-10-20,EUR,1.0616826,ECB
2025-10-21,EUR,1.05544096,ECB
2025-10-22,EUR,1.05123549,ECB
2025-10-23,EUR,1.05185633,ECB
2025-10-24,EUR,1.05418661,ECB
2025-10-25,EUR,1.05472858,ECB
2025-10-26,EUR,1.05436264,ECB
2025-10-27,EUR,1.05341023,ECB
2025-10-28,EUR,1.04873776,ECB
2025-10-29,EUR,1.04647297,ECB
2025-10-30,EUR,1.04502684,ECB
2025-10-31,EUR,1.048341,ECB
2025-11-01,EUR,1.04942169,ECB
2025-11-02,EUR,1.04387117,ECB
2025-11-03,EUR,1.04488607,ECB
2025-11-04,EUR,1.04367897,ECB
2025-11-05,EUR,1.0415595,ECB
2025-11-06,EUR,1.0434708,ECB
2025-11-07,EUR,1.04669825,ECB
2025-11-08,EUR,1.04962256,ECB
2025-11-09,EUR,1.04697997,ECB
2025-11-10,EUR,1.04600876,ECB
2025-11-11,EUR,1.04704827,ECB
2025-11-12,EUR,1.0501126,ECB
2025-11-13,EUR,1.04860304,ECB
2025-11-14,EUR,1.04801899,ECB
2025-11-15,EUR,1.04454061,ECB
2025-11-16,EUR,1.04079215,ECB
2025-11-17,EUR,1.04332916,ECB
2025-11-18,EUR,1.04757418,ECB
2025-11-19,EUR,1.04734787,ECB
2025-11-20,EUR,1.05050101,ECB
2025-11-21,EUR,1.05164071,ECB
2025-11-22,EUR,1.04960541,ECB
2025-11-23,EUR,1.05074337,ECB
2025-11-24,EUR,1.05559162,ECB
2025-11-25,EUR,1.05547817,ECB
2025-11-26,EUR,1.06043251,ECB
2025-11-27,EUR,1.05209832,ECB
2025-11-28,EUR,1.05469249,ECB
2025-11-29,EUR,1.05496791,ECB
2025-11-30,EUR,1.05402158,ECB
2025-12-01,EUR,1.05431173,ECB
2025-12-02,EUR,1.04802518,ECB
2025-12-03,EUR,1.04733452,ECB
2025-12-04,EUR,1.04845657,ECB
2025-12-05,EUR,1.05310509,ECB
2025-12-06,EUR,1.05146771,ECB
2025-12-07,EUR,1.0489174,ECB
2025-12-08,EUR,1.04733849,ECB
2025-12-09,EUR,1.0502147,ECB
2025-12-10,EUR,1.05125048,ECB
2025-12-11,EUR,1.04957974,ECB
2025-12-12,EUR,1.05119589,ECB
2025-12-13,EUR,1.05150203,ECB
2025-12-14,EUR,1.05455763,ECB
2025-12-15,EUR,1.05233656,ECB
2025-12-16,EUR,1.05130213,ECB
2025-12-17,EUR,1.05006546,ECB
2025-12-18,EUR,1.0454551,ECB
2025-12-19,EUR,1.04638384,ECB
2025-12-20,EUR,1.04720333,ECB
2025-12-21,EUR,1.0472194,ECB
2025-12-22,EUR,1.0464824,ECB
2025-12-23,EUR,1.04203892,ECB
2025-12-24,EUR,1.04072393,ECB
2025-12-25,EUR,1.03965392,ECB
2025-12-26,EUR,1.03715165,ECB
2025-12-27,EUR,1.03664982,ECB
2025-12-28,EUR,1.03790639,ECB
2025-12-29,EUR,1.04377945,ECB
2025-12-30,EUR,1.04432611,ECB
2025-12-31,EUR,1.04513301,ECB
2026-01-01,EUR,1.04489959,ECB
2026-01-02,EUR,1.03888482,ECB
2026-01-03,EUR,1.03880219,ECB
2026-01-04,EUR,1.03898989,ECB
2026-01-05,EUR,1.04666774,ECB
2026-01-06,EUR,1.04606373,ECB
2026-01-07,EUR,1.04701004,ECB
2026-01-08,EUR,1.04690101,ECB
2026-01-09,EUR,1.04323054,ECB
2026-01-10,EUR,1.04680722,ECB
2026-01-11,EUR,1.04916861,ECB
2026-01-12,EUR,1.05165838,ECB
2026-01-13,EUR,1.04878929,ECB
2026-01-14,EUR,1.053203,ECB
2026-01-15,EUR,1.0487737,ECB
2026-01-16,EUR,1.05062014,ECB
2026-01-17,EUR,1.05752415,ECB
2026-01-18,EUR,1.0543816,ECB
2026-01-19,EUR,1.05259032,ECB
2026-01-20,EUR,1.05290499,ECB
2026-01-21,EUR,1.05131466,ECB
2026-01-22,EUR,1.04642395,ECB
2026-01-23,EUR,1.04663919,ECB
2026-01-24,EUR,1.04330364,ECB
2026-01-25,EUR,1.04478595,ECB
2026-01-26,EUR,1.04190414,ECB
2026-01-27,EUR,1.04674879,ECB
2026-01-28,EUR,1.04428918,ECB
2026-01-29,EUR,1.04328021,ECB
2026-01-30,EUR,1.04582638,ECB
2026-01-31,EUR,1.04196457,ECB
2026-02-01,EUR,1.04267559,ECB
2026-02-02,EUR,1.04676437,ECB
2026-02-03,EUR,1.0417164,ECB
2026-02-04,EUR,1.04229341,ECB
2026-02-05,EUR,1.04310603,ECB
2026-02-06,EUR,1.0455526,ECB
2026-02-07,EUR,1.04167271,ECB
2026-02-08,EUR,1.03754626,ECB
2026-02-09,EUR,1.03917088,ECB
2026-02-10,EUR,1.04009673,ECB
2026-02-11,EUR,1.04087834,ECB
2026-02-12,EUR,1.04196017,ECB
2026-02-13,EUR,1.03983449,ECB
2026-02-14,EUR,1.04055901,ECB
2026-02-15,EUR,1.04147389,ECB
2026-02-16,EUR,1.03924195,ECB
2026-02-17,EUR,1.04505893,ECB
2026-02-18,EUR,1.04654448,ECB
2026-02-19,EUR,1.04280422,ECB
2026-02-20,EUR,1.04485819,ECB
2026-02-21,EUR,1.04180298,ECB
2026-02-22,EUR,1.04426294,ECB
2026-02-23,EUR,1.04789257,ECB
2026-02-24,EUR,1.04531261,ECB
2026-02-25,EUR,1.0483337,ECB
2026-02-26,EUR,1.0496319,ECB
2026-02-27,EUR,1.05222048,ECB
2026-02-28,EUR,1.05820801,ECB
2026-03-01,EUR,1.057429,ECB
2026-03-02,EUR,1.05503793,ECB
2026-03-03,EUR,1.05222252,ECB
2026-03-04,EUR,1.04964727,ECB
2026-03-05,EUR,1.04940449,ECB
2026-03-06,EUR,1.05047851,ECB
2026-03-07,EUR,1.05135048,ECB
2026-03-08,EUR,1.05395946,ECB
2026-03-09,EUR,1.05400057,ECB
2026-03-10,EUR,1.05859664,ECB
2026-03-11,EUR,1.05775615,ECB
2026-03-12,EUR,1.06638798,ECB
2026-03-13,EUR,1.06838959,ECB
2026-03-14,EUR,1.06564225,ECB
2026-03-15,EUR,1.06221869,ECB
2026-03-16,EUR,1.06375616,ECB
2026-03-17,EUR,1.06304303,ECB
2026-03-18,EUR,1.06532007,ECB
2026-03-19,EUR,1.06683252,ECB
2026-03-20,EUR,1.06659943,ECB
2026-03-21,EUR,1.06388986,ECB
2026-03-22,EUR,1.05905497,ECB
2026-03-23,EUR,1.05763632,ECB
2026-03-24,EUR,1.0603536,ECB
2026-03-25,EUR,1.06103464,ECB
2026-03-26,EUR,1.05706933,ECB
2026-03-27,EUR,1.05761852,ECB
2026-03-28,EUR,1.05884107,ECB
2026-03-29,EUR,1.05603348,ECB
2026-03-30,EUR,1.0565205,ECB
2026-03-31,EUR,1.05670499,ECB
2026-04-01,EUR,1.05308165,ECB
2026-04-02,EUR,1.05421198,ECB
2026-04-03,EUR,1.05598554,ECB
2026-04-04,EUR,1.0594166,ECB
2026-04-05,EUR,1.06276585,ECB
2026-04-06,EUR,1.05837343,ECB
2026-04-07,EUR,1.05539572,ECB
2026-04-08,EUR,1.05702642,ECB
2026-04-09,EUR,1.05865567,ECB
2026-04-10,EUR,1.06029145,ECB
2026-04-11,EUR,1.0725465,ECB
2026-04-12,EUR,1.07438342,ECB
2026-04-13,EUR,1.07804352,ECB
2026-04-14,EUR,1.08112889,ECB
2026-04-15,EUR,1.0832416,ECB
2026-04-16,EUR,1.08221706,ECB
2026-04-17,EUR,1.08468117,ECB
2026-04-18,EUR,1.08216636,ECB
2026-04-19,EUR,1.08139753,ECB
2026-04-20,EUR,1.07982292,ECB
2026-04-21,EUR,1.08008815,ECB
2026-04-22,EUR,1.08758826,ECB
2026-04-23,EUR,1.08149581,ECB
2026-04-24,EUR,1.08372237,ECB
2026-04-25,EUR,1.07847916,ECB
2026-04-26,EUR,1.07695226,ECB
2026-04-27,EUR,1.0804705,ECB
2026-04-28,EUR,1.08067886,ECB
2026-04-29,EUR,1.07718477,ECB
2026-04-30,EUR,1.07487323,ECB
2026-05-01,EUR,1.07706467,ECB
2026-05-02,EUR,1.07470471,ECB
2026-05-03,EUR,1.0754026,ECB
2026-05-04,EUR,1.07554963,ECB
2026-05-05,EUR,1.07344714,ECB
2026-05-06,EUR,1.08035137,ECB
2026-05-07,EUR,1.08240594,ECB
2026-05-08,EUR,1.07582986,ECB
2026-05-09,EUR,1.07643164,ECB
2026-05-10,EUR,1.07429453,ECB
2026-05-11,EUR,1.07704183,ECB
2026-05-12,EUR,1.07448109,ECB
2026-05-13,EUR,1.07411125,ECB
2026-05-14,EUR,1.07573849,ECB
2026-05-15,EUR,1.07853246,ECB
2026-05-16,EUR,1.07464879,ECB
2026-05-17,EUR,1.07357037,ECB
2026-05-18,EUR,1.07204071,ECB
2026-05-19,EUR,1.06993953,ECB
2026-05-20,EUR,1.07560631,ECB
2026-05-21,EUR,1.07691312,ECB
2026-05-22,EUR,1.07283953,ECB
2026-05-23,EUR,1.07579368,ECB
2026-05-24,EUR,1.08264269,ECB
2026-05-25,EUR,1.08599606,ECB
2026-05-26,EUR,1.08104597,ECB
2026-05-27,EUR,1.07947554,ECB
2026-05-28,EUR,1.08357834,ECB
2026-05-29,EUR,1.08127789,ECB
2026-05-30,EUR,1.08271757,ECB
2026-05-31,EUR,1.0852337,ECB
2026-06-01,EUR,1.08221589,ECB
2026-06-02,EUR,1.08202263,ECB
2026-06-03,EUR,1.07150126,ECB
2026-06-04,EUR,1.06820836,ECB
2026-06-05,EUR,1.06739897,ECB
2026-06-06,EUR,1.06340332,ECB
2026-06-07,EUR,1.06861106,ECB
2026-06-08,EUR,1.06402626,ECB
2026-06-09,EUR,1.06262161,ECB
2026-06-10,EUR,1.06303839,ECB
2026-06-11,EUR,1.06763478,ECB
2026-06-12,EUR,1.06303585,ECB
2026-06-13,EUR,1.0667453,ECB
2026-06-14,EUR,1.06677805,ECB
2026-06-15,EUR,1.06363689,ECB
2026-06-16,EUR,1.06511143,ECB
2026-06-17,EUR,1.06574749,ECB
2026-06-18,EUR,1.06382845,ECB
2026-06-19,EUR,1.06405122,ECB
2026-06-20,EUR,1.06282124,ECB
2026-06-21,EUR,1.06318319,ECB
2026-06-22,EUR,1.06529509,ECB
2026-06-23,EUR,1.07036381,ECB
2026-06-24,EUR,1.06638907,ECB
2026-06-25,EUR,1.07321301,ECB
2026-06-26,EUR,1.06692799,ECB
2026-06-27,EUR,1.06644216,ECB
2026-06-28,EUR,1.06832437,ECB
2026-06-29,EUR,1.06922495,ECB
2026-06-30,EUR,1.06722753,ECB
2026-07-01,EUR,1.06656119,ECB
2026-07-02,EUR,1.06498374,ECB
2026-07-03,EUR,1.06310075,ECB
2026-07-04,EUR,1.06581039,ECB
2026-07-05,EUR,1.06695192,ECB
2026-07-06,EUR,1.06473402,ECB
2026-07-07,EUR,1.06760752,ECB
2026-07-08,EUR,1.06859174,ECB
2026-07-09,EUR,1.0711976,ECB
2026-07-10,EUR,1.07322097,ECB
2026-07-11,EUR,1.07055188,ECB
2026-07-12,EUR,1.06875278,ECB
2026-07-13,EUR,1.07114879,ECB
2026-07-14,EUR,1.07311018,ECB
2026-07-15,EUR,1.07304289,ECB
2026-07-16,EUR,1.07342059,ECB
2026-07-17,EUR,1.077535,ECB
2026-07-18,EUR,1.07562269,ECB
2026-07-19,EUR,1.0773881,ECB
2026-07-20,EUR,1.07673458,ECB
2026-07-21,EUR,1.07603142,ECB
2026-07-22,EUR,1.07957838,ECB
2026-07-23,EUR,1.08225168,ECB
2026-07-24,EUR,1.08489295,ECB
2026-07-25,EUR,1.08914186,ECB
2026-07-26,EUR,1.08921049,ECB
2026-07-27,EUR,1.09143886,ECB
2026-07-28,EUR,1.09042295,ECB
2026-07-29,EUR,1.09148339,ECB
2026-07-30,EUR,1.09105724,ECB
2026-07-31,EUR,1.09137472,ECB
2026-08-01,EUR,1.09332334,ECB
2026-08-02,EUR,1.0906396,ECB
2026-08-03,EUR,1.09748572,ECB
2026-08-04,EUR,1.09417345,ECB
2026-08-05,EUR,1.09018786,ECB
2026-08-06,EUR,1.09397553,ECB
2026-08-07,EUR,1.09657371,ECB
2026-08-08,EUR,1.09862689,ECB
2026-08-09,EUR,1.10069784,ECB
2026-08-10,EUR,1.1006574,ECB
2026-08-11,EUR,1.09769469,ECB
2026-08-12,EUR,1.09794432,ECB
2026-08-13,EUR,1.09571387,ECB
2026-08-14,EUR,1.09891922,ECB
2026-08-15,EUR,1.09843441,ECB
2026-08-16,EUR,1.09571415,ECB
2026-08-17,EUR,1.09465771,ECB
2026-08-18,EUR,1.09601376,ECB
2026-08-19,EUR,1.09416021,ECB
2026-08-20,EUR,1.09146129,ECB
2026-08-21,EUR,1.09225921,ECB
2026-08-22,EUR,1.09306192,ECB
2026-08-23,EUR,1.09139955,ECB
2026-08-24,EUR,1.08985728,ECB
2026-08-25,EUR,1.09061599,ECB
2026-08-26,EUR,1.08587807,ECB
2026-08-27,EUR,1.08129307,ECB
2026-08-28,EUR,1.07896253,ECB
2026-08-29,EUR,1.07827162,ECB
2026-08-30,EUR,1.07927735,ECB
