fraud_id,transaction_id,anomaly_score,risk_level,action_taken,model_version,flagged_at
fr_c52d0e3c664e469c,ch_d652aa4a41784493,0.3542,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-01-29T22:51:10Z
fr_4249575dbaf345e6,ch_c1ff97bfc3f34520,0.5741,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-02-13T10:12:05Z
fr_aee2c08493b54fed,ch_19e31409237748e9,0.313,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-02-14T20:01:39Z
fr_d5a1468e33634b97,ch_75a938344b87447d,0.3095,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-02-25T03:41:16Z
fr_f1bc6de485a649b2,ch_3975a146ca7a41d0,0.3003,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-02-27T00:37:38Z
fr_2064765b55dd429d,ch_b345a54fba9f46e6,0.5034,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-03-02T06:10:00Z
fr_e0ce7cfbadce4223,ch_7580bf01685d479f,0.3271,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-03-19T20:00:33Z
fr_eff99a3ae18d4cdd,ch_475891f5f28c4e28,0.5979,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-03-20T15:46:23Z
fr_2e7da420d1ba4ca3,ch_91817d9824b6421b,0.398,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-03-28T11:26:09Z
fr_ffc3b99a62b444a4,ch_516a53ec7992418c,0.5354,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-03-30T08:35:10Z
fr_2d1331fbcdb346e3,ch_638f4e3f5e68458a,0.3508,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-04-05T04:02:33Z
fr_c7a53262e9c04975,ch_5c85e0d1a6bf4f0a,0.3152,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-04-06T05:55:37Z
fr_0ab993c9773345ec,ch_98bea6c9f408421f,0.3035,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-04-07T19:21:27Z
fr_6d08147807e447a0,ch_23d7b0c329694767,0.3278,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-04-08T12:19:44Z
fr_91389d2fdb1f4131,ch_f700d53109d74aa3,0.5749,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-04-09T16:41:41Z
fr_1b5aee06a9a14b28,ch_e899466b5e1d4427,0.5126,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-04-17T12:07:02Z
fr_604c910ac7d74286,ch_0b217e976e7c4482,0.5035,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-04-17T23:48:45Z
fr_527a7505b3ea47ef,ch_4b9a563ae4004b43,0.3636,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-04-20T16:37:56Z
fr_bc07931e8a724fd5,ch_ee6e14db8d8642f8,0.378,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-05-02T02:06:39Z
fr_f66328e86b7d4a67,ch_fb2ebf2cde8140ce,0.3624,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-05-03T17:39:22Z
fr_b2d31249247843de,ch_cbbf8b9f9891457e,0.4098,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-05-06T12:05:02Z
fr_b0bc6867d3944276,ch_91e946e8dd474e2a,0.3064,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-05-14T14:48:21Z
fr_dd8c62e996a343cc,ch_5d1ff733137d4e69,0.331,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-05-18T14:39:35Z
fr_f6585f7c3571481d,ch_30f9a7ff864a42ed,0.4818,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-05-26T18:54:37Z
fr_d0b981a5c69a4390,ch_83640342317740b1,0.4655,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-06-01T02:06:39Z
fr_85ab4903dc7a428e,ch_2ee0f953dad845e9,0.302,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-06-01T08:22:50Z
fr_344140f51a3d49af,ch_71af55df08994447,0.3211,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-06-04T04:02:33Z
fr_1960a1e67e094ce7,ch_43d07fb897d549ea,0.4053,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-06-04T11:25:06Z
fr_0e6e116b628140a7,ch_14c526a17f974ec6,0.3239,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-06-10T16:49:05Z
fr_e115ae6d09104f7e,ch_fa10b743a0db415c,0.3571,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-06-19T13:46:27Z
fr_9280e2129058415f,ch_ba27474871b84227,0.4646,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-06-22T01:11:42Z
fr_420c4d32643446ae,ch_d02ab8fd178a486a,0.4552,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-06-26T03:08:06Z
fr_58e16fcf195a4c11,ch_53d82f504a0a4499,0.7487,high,review,fraud-xgb-v2.4.1,2026-06-30T21:39:37Z
fr_20cd5bffda1145a5,ch_f6fa36d7678745df,0.9208,critical,block,fraud-xgb-v2.4.1,2026-07-02T09:02:28Z
fr_a1e68395fc94481e,ch_a66c2f78e68747c9,0.4684,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-07-03T16:04:52Z
fr_e0590ca8a1a443bf,ch_d2359bff6b79453d,0.694,high,review,fraud-xgb-v2.4.1,2026-07-06T07:35:14Z
fr_de34062937ca4e49,ch_f7c2e4e48cc94444,0.3716,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-07-10T20:54:27Z
fr_b524df76b01b446e,ch_a5bc2025d6bc4b2d,0.7209,high,review,fraud-xgb-v2.4.1,2026-07-27T19:16:40Z
fr_41d9247237b44199,ch_03328b2851e1442c,0.8486,high,review,fraud-xgb-v2.4.1,2026-08-12T07:27:05Z
fr_0634ba146ef14df0,ch_79c3d23f1e4b4e2f,0.3421,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-08-12T16:36:10Z
fr_bf61e2173d8c4b38,ch_eb3aa6220bc5488d,0.356,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-08-13T11:12:44Z
fr_c94d7f82ebee4a2b,ch_80958d53e49a40fb,0.5875,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-08-16T16:48:54Z
fr_ac23d1923aec4568,ch_16e4570bbfd84c52,0.3408,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-08-27T01:13:02Z
fr_a2c09c67aca04c5c,ch_4528e00550e24551,0.9013,critical,block,fraud-xgb-v2.4.1,2026-08-29T00:38:00Z
fr_383bb48ef0ba4690,ch_7ec1c21c11bc4e18,0.37,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-09-02T10:09:20Z
fr_2379135ef6474f49,ch_ee4594c9df3341ec,0.4135,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-09-02T11:25:06Z
fr_ba2607fee27049f8,ch_2afb71ee1e084f4a,0.498,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-09-06T14:47:10Z
fr_1fa7df232b5d4883,ch_341e87a491a44139,0.793,high,review,fraud-xgb-v2.4.1,2026-09-11T09:03:55Z
fr_975c4448170a42b1,ch_0bd7b05cf7b64c83,0.4197,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-12-26T14:22:22Z
