subscription_id,customer_id,merchant_id,product_id,status,current_period_start,current_period_end,canceled_at,created_at,updated_at
sub_c0d963bf81cd49c4,cus_e9c5082e87414e55,mer_cebf4e594d034937,prod_a0093cd93f504d53,active,2025-10-28,2026-10-28,,2025-10-28T11:19:49Z,2025-10-28T11:19:49Z
sub_cdbf0005fa804e12,cus_0c011286b5904723,mer_55f1915f3b6c4bb4,prod_6e70e57c848c484d,canceled,2026-04-07,2027-04-07,2026-09-13T16:55:21Z,2026-04-07T20:28:13Z,2026-09-13T16:55:21Z
sub_3147571e8e244970,cus_9c42a3227f7246f4,mer_db32c3082b104f39,prod_14d9251422b84f80,active,2026-08-31,2026-09-30,,2025-11-04T22:39:10Z,2026-08-31T22:39:10Z
sub_90d8821d80554e46,cus_99b235d7c8074db5,mer_fe0efaa2d6134d2b,prod_f64d23bc925a4e45,active,2026-09-01,2026-10-01,,2026-02-03T14:22:27Z,2026-09-01T14:22:27Z
sub_aa97ecc93e7b458d,cus_0a037bcf27834f79,mer_2cfe9913335c43db,prod_7164b353c1d9468d,active,2026-07-10,2027-07-10,,2026-07-10T20:49:28Z,2026-07-10T20:49:28Z
sub_0a391f55d0744af5,cus_922534213065438f,mer_55f1915f3b6c4bb4,prod_6e70e57c848c484d,active,2025-09-20,2026-09-20,,2025-09-20T01:02:50Z,2025-09-20T01:02:50Z
sub_57b426744e0449c0,cus_d27fe5157e174747,mer_55446817044148a5,prod_cf89d246cda64648,active,2026-07-18,2027-07-18,,2026-07-18T05:11:57Z,2026-07-18T05:11:57Z
sub_4c91c4924af2442c,cus_054b160f45024501,mer_4c90125afead4b68,prod_68fd2803ae5e4213,active,2026-07-09,2027-07-09,,2026-07-09T14:28:00Z,2026-07-09T14:28:00Z
sub_5c6241ee02e14bf3,cus_83320d3906d34961,mer_b1df48d548b7450d,prod_f20e628661b04cd9,active,2026-09-11,2026-10-11,,2025-10-16T16:45:58Z,2026-09-11T16:45:58Z
sub_7471d34d13d44a4a,cus_e075d16f596f4fdb,mer_cb824aa2603149bd,prod_f87bc5749c1c4e65,active,2025-12-31,2026-12-31,,2025-12-31T10:40:12Z,2025-12-31T10:40:12Z
sub_8b803a6e72ac496e,cus_83320d3906d34961,mer_4c90125afead4b68,prod_68fd2803ae5e4213,canceled,2025-12-02,2026-12-02,2026-09-13T22:08:25Z,2025-12-02T14:25:16Z,2026-09-13T22:08:25Z
sub_fe790c2b586c4b34,cus_849972074b6c45a2,mer_db32c3082b104f39,prod_14d9251422b84f80,active,2026-09-11,2026-10-11,,2026-02-13T10:21:53Z,2026-09-11T10:21:53Z
sub_cbbf46e2667047fd,cus_0a66cbadf97f4145,mer_55f1915f3b6c4bb4,prod_6e70e57c848c484d,active,2026-01-13,2027-01-13,,2026-01-13T03:28:21Z,2026-01-13T03:28:21Z
sub_aa8803c0481249eb,cus_a7bacfa62066493b,mer_55e37e7ae9164337,prod_7f411ac2e8124657,active,2026-09-02,2026-10-02,,2025-10-07T04:12:21Z,2026-09-02T04:12:21Z
sub_3969e21f628446b6,cus_70ec6428db774ac2,mer_5a02a7c23ec5450d,prod_2648110d69374189,active,2026-03-09,2027-03-09,,2026-03-09T18:12:54Z,2026-03-09T18:12:54Z
sub_1d654ca225b44d7e,cus_57566ec9bd434ab2,mer_0b2c61759f9543ce,prod_02efec794b1f4787,active,2026-08-29,2026-09-28,,2026-05-31T08:47:41Z,2026-08-29T08:47:41Z
sub_d057cafa513944e7,cus_f4c3509f935342d3,mer_d78fac318a5c4d38,prod_c3466a2be846464e,active,2025-10-31,2026-10-31,,2025-10-31T01:46:22Z,2025-10-31T01:46:22Z
sub_b662780107fa4602,cus_ff543ca72ad848d8,mer_ba49cfc9de3a4d34,prod_bd8112d47b944bbc,active,2025-11-17,2026-11-17,,2025-11-17T07:30:50Z,2025-11-17T07:30:50Z
sub_937d451b7ce8465d,cus_c3d7051872c148ac,mer_4c90125afead4b68,prod_3a2bf5570f1542b4,past_due,2026-08-31,2026-09-30,,2026-04-03T13:20:58Z,2026-08-31T13:20:58Z
sub_c22abb5768bb4641,cus_059713d093234e8a,mer_ad312e265c3d44b1,prod_6df55ae545f7414c,active,2026-09-14,2026-10-14,,2025-11-18T12:41:27Z,2026-09-14T12:41:27Z
sub_36fb126dbd264762,cus_7aa133778add4aec,mer_1e47a07064d3446b,prod_e866354ef77446a0,canceled,2026-06-26,2027-06-26,2026-09-13T17:33:07Z,2026-06-26T07:56:25Z,2026-09-13T17:33:07Z
sub_607471e3de154e9a,cus_904296edffa44235,mer_138f0371099a4972,prod_4a5714f39eed44d9,active,2025-12-29,2026-12-29,,2025-12-29T07:31:34Z,2025-12-29T07:31:34Z
sub_2535016449304782,cus_879e27e5cd7747a1,mer_db263a9d7c8b46bb,prod_9d81285b51ff4f04,active,2026-05-16,2027-05-16,,2026-05-16T09:30:47Z,2026-05-16T09:30:47Z
sub_36b609b8051e4bcb,cus_9c42a3227f7246f4,mer_4c90125afead4b68,prod_68fd2803ae5e4213,active,2026-02-01,2027-02-01,,2026-02-01T13:04:52Z,2026-02-01T13:04:52Z
sub_eaa5b0138a5a4b1a,cus_7bf485f681ea4b3f,mer_cb824aa2603149bd,prod_752e4dc5574c42b4,active,2026-09-02,2026-10-02,,2026-02-04T11:34:54Z,2026-09-02T11:34:54Z
sub_59aae4864f294d44,cus_dec49ff92b004c9a,mer_9c2c40d0fb084265,prod_11b9afa317c14a20,active,2026-04-25,2027-04-25,,2026-04-25T13:44:01Z,2026-04-25T13:44:01Z
sub_224a20feb01643e6,cus_9c2580ad4e3c4a4b,mer_55e37e7ae9164337,prod_3114abed7664462a,active,2026-08-28,2026-09-27,,2026-06-29T09:03:10Z,2026-08-28T09:03:10Z
sub_c79f6ad2e7374593,cus_d004c78f61384fba,mer_ba49cfc9de3a4d34,prod_bd8112d47b944bbc,active,2025-12-18,2026-12-18,,2025-12-18T15:52:05Z,2025-12-18T15:52:05Z
sub_043a8e2ed1514858,cus_97f67df178f34463,mer_cebf4e594d034937,prod_a0093cd93f504d53,active,2025-11-11,2026-11-11,,2025-11-11T23:22:25Z,2025-11-11T23:22:25Z
sub_2557f5f1e55747aa,cus_62c85ad1290e4388,mer_db263a9d7c8b46bb,prod_6487ad94bac948cb,canceled,2026-08-22,2026-09-21,2026-09-09T13:31:51Z,2026-07-23T14:03:43Z,2026-09-09T13:31:51Z
sub_d849832f033c4eee,cus_3a3b75646e0840b7,mer_fe0efaa2d6134d2b,prod_f64d23bc925a4e45,active,2026-09-06,2026-10-06,,2025-12-10T21:07:03Z,2026-09-06T21:07:03Z
sub_75b83a393a454d82,cus_949717f0b55447ff,mer_db32c3082b104f39,prod_14d9251422b84f80,past_due,2026-08-26,2026-09-25,,2025-12-29T00:47:26Z,2026-08-26T00:47:26Z
sub_eb91794cd4884c98,cus_5ee51625a1224ab5,mer_cebf4e594d034937,prod_35b7209d016545e3,active,2026-08-27,2026-09-26,,2025-10-31T01:22:50Z,2026-08-27T01:22:50Z
sub_23fa07fa83a8466f,cus_9c2580ad4e3c4a4b,mer_d78fac318a5c4d38,prod_c3466a2be846464e,past_due,2025-12-10,2026-12-10,,2025-12-10T08:43:07Z,2025-12-10T08:43:07Z
sub_86e03af84e754275,cus_918948f4abcf4c1c,mer_b1df48d548b7450d,prod_f20e628661b04cd9,canceled,2026-09-06,2026-10-06,2026-02-28T02:12:53Z,2025-10-11T10:55:27Z,2026-02-28T02:12:53Z
sub_a4d4136c15d14724,cus_879e27e5cd7747a1,mer_0b2c61759f9543ce,prod_02efec794b1f4787,active,2026-08-17,2026-09-16,,2026-01-19T19:08:56Z,2026-08-17T19:08:56Z
sub_9caaae24d80a4294,cus_209a76fb0d6f48bb,mer_ba49cfc9de3a4d34,prod_bd8112d47b944bbc,active,2026-02-04,2027-02-04,,2026-02-04T23:03:39Z,2026-02-04T23:03:39Z
sub_9c2d52a9e34c44f5,cus_496d75990019459c,mer_0b2c61759f9543ce,prod_02efec794b1f4787,active,2026-08-27,2026-09-26,,2026-06-28T21:49:52Z,2026-08-27T21:49:52Z
sub_90540ceb92a74d69,cus_ebc55f15bd8a4885,mer_cebf4e594d034937,prod_35b7209d016545e3,canceled,2026-08-30,2026-09-29,2026-07-09T10:10:37Z,2026-05-02T11:26:33Z,2026-07-09T10:10:37Z
sub_c1adc4048b904669,cus_9e911f1bdf7042a1,mer_4c90125afead4b68,prod_4d17e2bbb8c04a0b,past_due,2026-07-07,2027-07-07,,2026-07-07T00:41:28Z,2026-07-07T00:41:28Z
sub_647d85a492c84bec,cus_2247830f057446d9,mer_ba49cfc9de3a4d34,prod_bd8112d47b944bbc,active,2026-02-20,2027-02-20,,2026-02-20T22:17:48Z,2026-02-20T22:17:48Z
sub_309fd05fed054d56,cus_420b937dbb424eaa,mer_cebf4e594d034937,prod_a77679c1aca74ff6,past_due,2026-08-17,2026-09-16,,2026-05-19T15:53:27Z,2026-08-17T15:53:27Z
sub_9e4f09c4a6e3458e,cus_c1c8ad81fa8e4ffd,mer_c95ed1a912af4366,prod_cc1e490c243b42ab,past_due,2025-09-15,2026-09-15,,2025-09-15T06:06:37Z,2025-09-15T06:06:37Z
sub_76330dbc1c794d86,cus_9853aba2933646f2,mer_0b2c61759f9543ce,prod_02efec794b1f4787,active,2026-08-21,2026-09-20,,2025-10-25T01:21:30Z,2026-08-21T01:21:30Z
sub_49d8fe82aa91438f,cus_312ecf1553e946b6,mer_fe0efaa2d6134d2b,prod_f64d23bc925a4e45,canceled,2026-08-21,2026-09-20,2026-05-21T10:01:59Z,2026-03-24T18:31:29Z,2026-05-21T10:01:59Z
sub_aad18dd201864070,cus_0936c339a7fc4396,mer_1e47a07064d3446b,prod_e866354ef77446a0,active,2025-10-20,2026-10-20,,2025-10-20T19:33:16Z,2025-10-20T19:33:16Z
sub_9d8113b385b14bb4,cus_d8d06ba34d234daa,mer_4c90125afead4b68,prod_3a2bf5570f1542b4,active,2026-08-21,2026-09-20,,2026-02-22T02:27:06Z,2026-08-21T02:27:06Z
sub_4706f6b0fcf640d9,cus_fd0d663a061a4362,mer_138f0371099a4972,prod_2036b83d42814f01,active,2026-07-02,2027-07-02,,2026-07-02T03:24:39Z,2026-07-02T03:24:39Z
sub_cc2321030c3045ef,cus_ed2299e5013b49cf,mer_4c90125afead4b68,prod_68fd2803ae5e4213,active,2025-11-05,2026-11-05,,2025-11-05T12:55:21Z,2025-11-05T12:55:21Z
sub_54f6cb24a64a45b0,cus_a7bacfa62066493b,mer_55f1915f3b6c4bb4,prod_6e70e57c848c484d,active,2026-05-02,2027-05-02,,2026-05-02T13:21:06Z,2026-05-02T13:21:06Z
sub_e4f1462aaa3145a1,cus_5ad8788f422c4d91,mer_cb824aa2603149bd,prod_6b46da13e5b942b9,active,2025-12-15,2026-12-15,,2025-12-15T15:21:21Z,2025-12-15T15:21:21Z
sub_6a1210f3326b4e8a,cus_9af594dfb7824aa9,mer_b1df48d548b7450d,prod_f20e628661b04cd9,past_due,2026-09-11,2026-10-11,,2026-06-13T19:43:09Z,2026-09-11T19:43:09Z
sub_7512294fb7e348ea,cus_88ba822c88704fab,mer_db32c3082b104f39,prod_14d9251422b84f80,active,2026-09-05,2026-10-05,,2026-03-09T12:29:32Z,2026-09-05T12:29:32Z
sub_d424761bbeac4ab7,cus_0012b741f2d64b19,mer_1894cb2f8dc64283,prod_24391b92e2624a79,past_due,2025-11-06,2026-11-06,,2025-11-06T13:08:15Z,2025-11-06T13:08:15Z
sub_c5243cac933347e4,cus_7c59f37685b44706,mer_9c2c40d0fb084265,prod_11b9afa317c14a20,active,2025-11-14,2026-11-14,,2025-11-14T01:00:52Z,2025-11-14T01:00:52Z
sub_4e42a4b563d84b65,cus_83320d3906d34961,mer_138f0371099a4972,prod_2036b83d42814f01,active,2026-01-14,2027-01-14,,2026-01-14T15:29:08Z,2026-01-14T15:29:08Z
sub_8abf083463954c18,cus_183c0665869346f6,mer_cebf4e594d034937,prod_a77679c1aca74ff6,active,2026-09-08,2026-10-08,,2026-07-10T20:32:32Z,2026-09-08T20:32:32Z
sub_5c562fdbb6d94874,cus_667156fe0e0e4077,mer_138f0371099a4972,prod_2036b83d42814f01,canceled,2025-12-26,2026-12-26,2026-09-13T19:46:31Z,2025-12-26T14:32:10Z,2026-09-13T19:46:31Z
sub_62f1a9c6a5064b58,cus_9cd6eada23cb47de,mer_0b2c61759f9543ce,prod_02efec794b1f4787,active,2026-08-31,2026-09-30,,2026-08-01T14:57:55Z,2026-08-31T14:57:55Z
sub_ae784e5501b44776,cus_9af594dfb7824aa9,mer_ba49cfc9de3a4d34,prod_77c51468c1a24342,past_due,2026-09-03,2026-10-03,,2025-12-07T04:37:20Z,2026-09-03T04:37:20Z
sub_e33b57340ffa4677,cus_2ce0d7e28b2f4461,mer_cb824aa2603149bd,prod_f87bc5749c1c4e65,active,2025-10-20,2026-10-20,,2025-10-20T02:38:57Z,2025-10-20T02:38:57Z
sub_d47ff710b41b4475,cus_ea4bfdf8034745e7,mer_b1df48d548b7450d,prod_f20e628661b04cd9,active,2026-08-30,2026-09-29,,2026-04-02T02:16:27Z,2026-08-30T02:16:27Z
sub_630782e8853244e8,cus_eb3774828158496a,mer_ad312e265c3d44b1,prod_6df55ae545f7414c,canceled,2026-08-29,2026-09-28,2026-08-29T22:22:44Z,2026-07-30T04:16:21Z,2026-08-29T22:22:44Z
sub_49fc926a33524770,cus_be6af78bd27141ff,mer_138f0371099a4972,prod_e3ba473c618d4dac,active,2026-04-18,2027-04-18,,2026-04-18T14:20:52Z,2026-04-18T14:20:52Z
