product_sk,product_id,merchant_id,name,billing_interval,unit_price,currency_code
36,prod_b99fe231738849e5,mer_9c2c40d0fb084265,Lab test,,4481.0,JPY
37,prod_b7720978a2034b93,mer_5a02a7c23ec5450d,Skin bundle,,120.87,GBP
38,prod_2648110d69374189,mer_5a02a7c23ec5450d,Season pass,year,65.29,GBP
39,prod_024575bfdd4c4f2a,mer_5a02a7c23ec5450d,Gold pack,,88.22,GBP
40,prod_cd930e6bdc0c41e2,mer_3bb8b17fd98a4003,Sneakers,,53.61,GBP
41,prod_161df974743344ef,mer_3bb8b17fd98a4003,Lamp,,6.73,GBP
42,prod_735d241238fa4481,mer_3bb8b17fd98a4003,Headphones,,85.13,GBP
43,prod_6b46da13e5b942b9,mer_cb824aa2603149bd,Pro plan,year,3.73,EUR
44,prod_f87bc5749c1c4e65,mer_cb824aa2603149bd,Enterprise plan,year,82.08,EUR
45,prod_752e4dc5574c42b4,mer_cb824aa2603149bd,Starter plan,month,26.85,EUR
46,prod_c3466a2be846464e,mer_d78fac318a5c4d38,Monthly membership,year,239.24,CAD
47,prod_7af93f9b14674f7d,mer_d78fac318a5c4d38,Course,,174.68,CAD
48,prod_2091701af6b642e1,mer_d78fac318a5c4d38,Bootcamp,,126.35,CAD
49,prod_24391b92e2624a79,mer_1894cb2f8dc64283,Season pass,year,73433.4,NGN
50,prod_6532ba72fb8640ba,mer_1894cb2f8dc64283,Skin bundle,,25957.89,NGN
51,prod_bd772aa344274d32,mer_1894cb2f8dc64283,Gold pack,,57228.29,NGN
52,prod_2e0b913d92b14c6a,mer_55e37e7ae9164337,Starter plan,month,49495.73,NGN
53,prod_3114abed7664462a,mer_55e37e7ae9164337,Team plan,month,50940.45,NGN
54,prod_7f411ac2e8124657,mer_55e37e7ae9164337,Enterprise plan,month,73627.95,NGN
55,prod_b47170d633ac415d,mer_e6e2d647fa064dd5,Family menu,,177.61,SGD
56,prod_e09ad6b4d98147f9,mer_e6e2d647fa064dd5,Dessert,,148.77,SGD
57,prod_c9381902f6094d6e,mer_e6e2d647fa064dd5,Meal,,22.43,SGD
58,prod_51833e4f27b34881,mer_22999035ece34bd5,Perfume,,23398.96,NGN
59,prod_a418086da8ae4742,mer_22999035ece34bd5,Jacket,,42239.05,NGN
60,prod_4b40d6d8ecfa45cc,mer_22999035ece34bd5,Shoes,,47100.88,NGN
61,prod_82e9c95e99ee4183,mer_6f423b52770143d3,Headphones,,36.97,EUR
62,prod_30e239f1f7dc427a,mer_6f423b52770143d3,T-shirt,,187.5,EUR
63,prod_9eea9f3209564683,mer_6f423b52770143d3,Backpack,,149.45,EUR
64,prod_07223be21bf74590,mer_ad312e265c3d44b1,Lab test,,110.59,EUR
65,prod_bf2555c9ff424c7d,mer_ad312e265c3d44b1,Consultation,,88.06,EUR
66,prod_6df55ae545f7414c,mer_ad312e265c3d44b1,Monthly plan,month,75.98,EUR
67,prod_9214f4a44b7a41de,mer_1e47a07064d3446b,Skin bundle,,23581.83,NGN
68,prod_329b5b12ad324d39,mer_1e47a07064d3446b,Gold pack,,46743.31,NGN
69,prod_e866354ef77446a0,mer_1e47a07064d3446b,Season pass,year,50799.43,NGN
70,prod_df7b2ec0b5df4bf0,mer_d6d762d8faa145ce,Bootcamp,,36.02,USD
71,prod_468611a834f54177,mer_d6d762d8faa145ce,Monthly membership,month,110.87,USD
72,prod_0474f1e2f4834c7d,mer_d6d762d8faa145ce,Course,,87.63,USD
73,prod_011e0dde84314ed0,mer_bd88cdf01c734a8c,Shoes,,4.38,USD
74,prod_30d0f786424246d0,mer_bd88cdf01c734a8c,Watch,,54.13,USD
75,prod_0bbd65db976f48cc,mer_bd88cdf01c734a8c,Perfume,,75.35,USD
76,prod_fe0c057855734522,mer_0b2c61759f9543ce,Lab test,,874.73,BRL
77,prod_d72d1e52d7214f3e,mer_0b2c61759f9543ce,Consultation,,575.22,BRL
78,prod_02efec794b1f4787,mer_0b2c61759f9543ce,Monthly plan,month,149.52,BRL
79,prod_bf1041c03a1147c4,mer_020752b6169d46aa,Premium listing,,161.59,SGD
80,prod_53f7babc86af457e,mer_020752b6169d46aa,Listing fee,,29.43,SGD
81,prod_ec3d90c2c4984dce,mer_020752b6169d46aa,Featured slot,,200.37,SGD
82,prod_75fcf217ad594b90,mer_18bf8f47cd854063,Sneakers,,64.98,EUR
83,prod_195d3029ee7742aa,mer_18bf8f47cd854063,Lamp,,81.02,EUR
84,prod_bb13b38c6ae34e90,mer_18bf8f47cd854063,Headphones,,141.35,EUR
85,prod_14d9251422b84f80,mer_db32c3082b104f39,Monthly plan,month,30.3,EUR
86,prod_1a4fa2135f34466e,mer_db32c3082b104f39,Consultation,,25.62,EUR
87,prod_0bf2af296d014eed,mer_db32c3082b104f39,Lab test,,60.2,EUR
88,prod_cc1e490c243b42ab,mer_c95ed1a912af4366,Monthly membership,year,144.32,USD
89,prod_3e2d0fbc277d4c28,mer_c95ed1a912af4366,Bootcamp,,22.83,USD
90,prod_788ef864ad1b4fba,mer_c95ed1a912af4366,Course,,39.53,USD
91,prod_c16bab0e3231413f,mer_11e9eca5ea2f413a,T-shirt,,65.83,EUR
92,prod_e4b7ae1a94a944c2,mer_11e9eca5ea2f413a,Lamp,,108.45,EUR
93,prod_a8a8224d4481452a,mer_11e9eca5ea2f413a,Headphones,,136.01,EUR
94,prod_3ee50f90a9af4314,mer_fde89907b83842dd,Shoes,,34578.87,NGN
95,prod_51551023218a46d2,mer_fde89907b83842dd,Perfume,,35742.9,NGN
96,prod_6e64c7f64b6b483d,mer_fde89907b83842dd,Watch,,70962.77,NGN
97,prod_873fc88f9bb145cb,mer_a76a41058c39445c,Car rental,,5.54,EUR
98,prod_2baf9d64c3be4e19,mer_a76a41058c39445c,Insurance,,68.49,EUR
99,prod_04b9abb594824f3e,mer_a76a41058c39445c,Flight,,93.09,EUR
100,prod_d07adcba31964b7e,mer_b82ed8c952ee46af,Insurance,,104.09,EUR
101,prod_940a25e0cc774733,mer_b82ed8c952ee46af,Flight,,63.33,EUR
102,prod_d52494ec11a8457f,mer_b82ed8c952ee46af,Car rental,,86.46,EUR
103,prod_a77679c1aca74ff6,mer_cebf4e594d034937,Team plan,month,23.2,USD
104,prod_35b7209d016545e3,mer_cebf4e594d034937,Starter plan,month,63.73,USD
105,prod_a0093cd93f504d53,mer_cebf4e594d034937,Pro plan,year,116.54,USD
106,prod_4297c4b58a6a4d73,mer_db79ddbafdd74a7b,Perfume,,38.16,GBP
107,prod_b85675bfac384c8f,mer_db79ddbafdd74a7b,Jacket,,77.21,GBP
108,prod_05aa24a25b334d1a,mer_db79ddbafdd74a7b,Watch,,91.76,GBP
109,prod_0e5021b54c4d4f89,mer_0ff11db1fd2a4838,Featured slot,,7873.0,JPY
110,prod_ad83bf80078f4d2b,mer_0ff11db1fd2a4838,Premium listing,,10310.0,JPY
111,prod_9ab89af149f84559,mer_0ff11db1fd2a4838,Listing fee,,4927.0,JPY
112,prod_f20e628661b04cd9,mer_b1df48d548b7450d,Season pass,month,76.22,EUR
113,prod_846904ab9fde4a95,mer_b1df48d548b7450d,Skin bundle,,110.93,EUR
114,prod_2bc16a2a3c864ac6,mer_b1df48d548b7450d,Gold pack,,91.67,EUR
115,prod_b7103931324a485e,mer_fe0efaa2d6134d2b,Gold pack,,53.01,GBP
116,prod_f64d23bc925a4e45,mer_fe0efaa2d6134d2b,Season pass,month,83.41,GBP
117,prod_85ad69242eaf4b1c,mer_fe0efaa2d6134d2b,Skin bundle,,101.8,GBP
118,prod_4a5714f39eed44d9,mer_138f0371099a4972,Pro plan,year,3.25,SGD
119,prod_e3ba473c618d4dac,mer_138f0371099a4972,Team plan,year,205.34,SGD
120,prod_2036b83d42814f01,mer_138f0371099a4972,Enterprise plan,year,108.14,SGD
121,prod_de38ad81c05c4651,mer_f63766602b9e4a59,Jacket,,103.08,EUR
122,prod_b62b137cae2c4983,mer_f63766602b9e4a59,Shoes,,135.88,EUR
123,prod_6354dfc6669f4804,mer_f63766602b9e4a59,Watch,,26.7,EUR
124,prod_e471fcd688bd46e8,mer_10dd374c134b4d8c,Perfume,,61.3,USD
125,prod_c73d258fc17342cb,mer_10dd374c134b4d8c,Shoes,,81.29,USD
126,prod_6427b91a84404d20,mer_10dd374c134b4d8c,Jacket,,57.77,USD
127,prod_54f38a86b9a94539,mer_2cfe9913335c43db,Lab test,,17741.0,JPY
128,prod_7164b353c1d9468d,mer_2cfe9913335c43db,Monthly plan,year,5430.0,JPY
129,prod_5386b194066a494a,mer_2cfe9913335c43db,Consultation,,6861.0,JPY
130,prod_4312df6489f744eb,mer_d2e268f90cb641b6,Family menu,,495.99,BRL
131,prod_244733526954464c,mer_d2e268f90cb641b6,Drink,,179.52,BRL
132,prod_1d7f72d3554949cc,mer_d2e268f90cb641b6,Dessert,,360.97,BRL
133,prod_ed024d2dd3c64939,mer_05e522eff5214359,Gold pack,,11008.0,JPY
134,prod_24448b0b561444ba,mer_05e522eff5214359,Season pass,month,7919.0,JPY
135,prod_43c036caf0244311,mer_05e522eff5214359,Skin bundle,,9056.0,JPY
136,prod_076fff2f37df4264,mer_a9a9d402ede44650,Drink,,62.5,EUR
137,prod_6ec78af26a364e63,mer_a9a9d402ede44650,Meal,,20.64,EUR
138,prod_22230a5aabab4c82,mer_a9a9d402ede44650,Dessert,,98.67,EUR
139,prod_6d5373e5ab0249ab,mer_35dc6d67de4945ff,Perfume,,262.85,AUD
140,prod_97b7ddb82a634631,mer_35dc6d67de4945ff,Jacket,,141.29,AUD
141,prod_17eccb501ff34c33,mer_35dc6d67de4945ff,Watch,,155.77,AUD
142,prod_68fd2803ae5e4213,mer_4c90125afead4b68,Team plan,year,60586.26,NGN
143,prod_3a2bf5570f1542b4,mer_4c90125afead4b68,Starter plan,month,16440.06,NGN
144,prod_4d17e2bbb8c04a0b,mer_4c90125afead4b68,Pro plan,year,83306.58,NGN
145,prod_6487ad94bac948cb,mer_db263a9d7c8b46bb,Pro plan,month,132.14,CAD
146,prod_9d81285b51ff4f04,mer_db263a9d7c8b46bb,Enterprise plan,year,217.91,CAD
147,prod_acbe875fdbac4afb,mer_db263a9d7c8b46bb,Starter plan,month,76.02,CAD
148,prod_29085a49d1954069,mer_b1527a8008644003,Drink,,85906.39,NGN
149,prod_275633d3269447c9,mer_b1527a8008644003,Meal,,62441.0,NGN
150,prod_aa1f4af30242410b,mer_b1527a8008644003,Dessert,,57443.4,NGN
