rate_date,currency_code,rate_to_usd
2025-12-27,USD,1.0
2025-12-28,USD,1.0
2025-12-29,USD,1.0
2025-12-30,USD,1.0
2025-12-31,USD,1.0
2026-01-01,USD,1.0
2026-01-02,USD,1.0
2026-01-03,USD,1.0
2026-01-04,USD,1.0
2026-01-05,USD,1.0
2026-01-06,USD,1.0
2026-01-07,USD,1.0
2026-01-08,USD,1.0
2026-01-09,USD,1.0
2026-01-10,USD,1.0
2026-01-11,USD,1.0
2026-01-12,USD,1.0
2026-01-13,USD,1.0
2026-01-14,USD,1.0
2026-01-15,USD,1.0
2026-01-16,USD,1.0
2026-01-17,USD,1.0
2026-01-18,USD,1.0
2026-01-19,USD,1.0
2026-01-20,USD,1.0
2026-01-21,USD,1.0
2026-01-22,USD,1.0
2026-01-23,USD,1.0
2026-01-24,USD,1.0
2026-01-25,USD,1.0
2026-01-26,USD,1.0
2026-01-27,USD,1.0
2026-01-28,USD,1.0
2026-01-29,USD,1.0
2026-01-30,USD,1.0
2026-01-31,USD,1.0
2026-02-01,USD,1.0
2026-02-02,USD,1.0
2026-02-03,USD,1.0
2026-02-04,USD,1.0
2026-02-05,USD,1.0
2026-02-06,USD,1.0
2026-02-07,USD,1.0
2026-02-08,USD,1.0
2026-02-09,USD,1.0
2026-02-10,USD,1.0
2026-02-11,USD,1.0
2026-02-12,USD,1.0
2026-02-13,USD,1.0
2026-02-14,USD,1.0
2026-02-15,USD,1.0
2026-02-16,USD,1.0
2026-02-17,USD,1.0
2026-02-18,USD,1.0
2026-02-19,USD,1.0
2026-02-20,USD,1.0
2026-02-21,USD,1.0
2026-02-22,USD,1.0
2026-02-23,USD,1.0
2026-02-24,USD,1.0
2026-02-25,USD,1.0
2026-02-26,USD,1.0
2026-02-27,USD,1.0
2026-02-28,USD,1.0
2026-03-01,USD,1.0
2026-03-02,USD,1.0
2026-03-03,USD,1.0
2026-03-04,USD,1.0
2026-03-05,USD,1.0
2026-03-06,USD,1.0
2026-03-07,USD,1.0
2026-03-08,USD,1.0
2026-03-09,USD,1.0
2026-03-10,USD,1.0
2026-03-11,USD,1.0
2026-03-12,USD,1.0
2026-03-13,USD,1.0
2026-03-14,USD,1.0
2026-03-15,USD,1.0
2026-03-16,USD,1.0
2026-03-17,USD,1.0
2026-03-18,USD,1.0
2026-03-19,USD,1.0
2026-03-20,USD,1.0
2026-03-21,USD,1.0
2026-03-22,USD,1.0
2026-03-23,USD,1.0
2026-03-24,USD,1.0
2026-03-25,USD,1.0
2026-03-26,USD,1.0
2026-03-27,USD,1.0
2026-03-28,USD,1.0
2026-03-29,USD,1.0
2026-03-30,USD,1.0
2026-03-31,USD,1.0
2026-04-01,USD,1.0
2026-04-02,USD,1.0
2026-04-03,USD,1.0
2026-04-04,USD,1.0
2026-04-05,USD,1.0
2026-04-06,USD,1.0
2026-04-07,USD,1.0
2026-04-08,USD,1.0
2026-04-09,USD,1.0
2026-04-10,USD,1.0
2026-04-11,USD,1.0
2026-04-12,USD,1.0
2026-04-13,USD,1.0
2026-04-14,USD,1.0
2026-04-15,USD,1.0
2026-04-16,USD,1.0
2026-04-17,USD,1.0
2026-04-18,USD,1.0
2026-04-19,USD,1.0
2026-04-20,USD,1.0
2026-04-21,USD,1.0
2026-04-22,USD,1.0
2026-04-23,USD,1.0
2026-04-24,USD,1.0
2026-04-25,USD,1.0
2026-04-26,USD,1.0
2026-04-27,USD,1.0
2026-04-28,USD,1.0
2026-04-29,USD,1.0
2026-04-30,USD,1.0
2026-05-01,USD,1.0
2026-05-02,USD,1.0
2026-05-03,USD,1.0
2026-05-04,USD,1.0
2026-05-05,USD,1.0
2026-05-06,USD,1.0
2026-05-07,USD,1.0
2026-05-08,USD,1.0
2026-05-09,USD,1.0
2026-05-10,USD,1.0
2026-05-11,USD,1.0
2026-05-12,USD,1.0
2026-05-13,USD,1.0
2026-05-14,USD,1.0
2026-05-15,USD,1.0
2026-05-16,USD,1.0
2026-05-17,USD,1.0
2026-05-18,USD,1.0
2026-05-19,USD,1.0
2026-05-20,USD,1.0
2026-05-21,USD,1.0
2026-05-22,USD,1.0
2026-05-23,USD,1.0
2026-05-24,USD,1.0
2026-05-25,USD,1.0
2026-05-26,USD,1.0
2026-05-27,USD,1.0
2026-05-28,USD,1.0
2026-05-29,USD,1.0
2026-05-30,USD,1.0
2026-05-31,USD,1.0
2026-06-01,USD,1.0
2026-06-02,USD,1.0
2026-06-03,USD,1.0
2026-06-04,USD,1.0
2026-06-05,USD,1.0
2026-06-06,USD,1.0
2026-06-07,USD,1.0
2026-06-08,USD,1.0
2026-06-09,USD,1.0
2026-06-10,USD,1.0
2026-06-11,USD,1.0
2026-06-12,USD,1.0
2026-06-13,USD,1.0
2026-06-14,USD,1.0
2026-06-15,USD,1.0
2026-06-16,USD,1.0
2026-06-17,USD,1.0
2026-06-18,USD,1.0
2026-06-19,USD,1.0
2026-06-20,USD,1.0
2026-06-21,USD,1.0
2026-06-22,USD,1.0
2026-06-23,USD,1.0
2026-06-24,USD,1.0
2026-06-25,USD,1.0
2026-06-26,USD,1.0
2026-06-27,USD,1.0
2026-06-28,USD,1.0
2026-06-29,USD,1.0
2026-06-30,USD,1.0
2026-07-01,USD,1.0
2026-07-02,USD,1.0
2026-07-03,USD,1.0
2026-07-04,USD,1.0
2026-07-05,USD,1.0
2026-07-06,USD,1.0
2026-07-07,USD,1.0
2026-07-08,USD,1.0
2026-07-09,USD,1.0
2026-07-10,USD,1.0
2026-07-11,USD,1.0
2026-07-12,USD,1.0
2026-07-13,USD,1.0
2026-07-14,USD,1.0
2026-07-15,USD,1.0
2026-07-16,USD,1.0
2026-07-17,USD,1.0
2026-07-18,USD,1.0
2026-07-19,USD,1.0
2026-07-20,USD,1.0
2026-07-21,USD,1.0
2026-07-22,USD,1.0
2026-07-23,USD,1.0
2026-07-24,USD,1.0
2026-07-25,USD,1.0
2026-07-26,USD,1.0
2026-07-27,USD,1.0
2026-07-28,USD,1.0
2026-07-29,USD,1.0
2026-07-30,USD,1.0
2026-07-31,USD,1.0
2026-08-01,USD,1.0
2026-08-02,USD,1.0
2026-08-03,USD,1.0
2026-08-04,USD,1.0
2026-08-05,USD,1.0
2026-08-06,USD,1.0
2026-08-07,USD,1.0
2026-08-08,USD,1.0
2026-08-09,USD,1.0
2026-08-10,USD,1.0
2026-08-11,USD,1.0
2026-08-12,USD,1.0
2026-08-13,USD,1.0
2026-08-14,USD,1.0
2026-08-15,USD,1.0
2026-08-16,USD,1.0
2026-08-17,USD,1.0
2026-08-18,USD,1.0
2026-08-19,USD,1.0
2026-08-20,USD,1.0
2026-08-21,USD,1.0
2026-08-22,USD,1.0
2026-08-23,USD,1.0
2026-08-24,USD,1.0
2026-08-25,USD,1.0
2026-08-26,USD,1.0
2026-08-27,USD,1.0
2026-08-28,USD,1.0
2026-08-29,USD,1.0
2026-08-30,USD,1.0
2026-08-31,USD,1.0
2026-09-01,USD,1.0
2026-09-02,USD,1.0
2026-09-03,USD,1.0
2026-09-04,USD,1.0
2026-09-05,USD,1.0
2026-09-06,USD,1.0
2026-09-07,USD,1.0
2026-09-08,USD,1.0
2026-09-09,USD,1.0
2026-09-10,USD,1.0
2026-09-11,USD,1.0
2026-09-12,USD,1.0
2026-09-13,USD,1.0
2026-09-14,USD,1.0
2025-09-14,EUR,1.08160935
2025-09-15,EUR,1.08116071
2025-09-16,EUR,1.08326148
2025-09-17,EUR,1.08821099
2025-09-18,EUR,1.08744657
2025-09-19,EUR,1.08668274
2025-09-20,EUR,1.09183105
2025-09-21,EUR,1.09434477
2025-09-22,EUR,1.09280347
2025-09-23,EUR,1.09458221
2025-09-24,EUR,1.09306046
2025-09-25,EUR,1.09153325
2025-09-26,EUR,1.09232558
2025-09-27,EUR,1.0860558
2025-09-28,EUR,1.08043573
2025-09-29,EUR,1.07861319
2025-09-30,EUR,1.07533583
2025-10-01,EUR,1.07634959
2025-10-02,EUR,1.07341754
2025-10-03,EUR,1.06886956
2025-10-04,EUR,1.07356932
2025-10-05,EUR,1.07284216
2025-10-06,EUR,1.07305951
2025-10-07,EUR,1.06847299
2025-10-08,EUR,1.06672801
2025-10-09,EUR,1.06708298
2025-10-10,EUR,1.06339837
2025-10-11,EUR,1.06459692
2025-10-12,EUR,1.0626786
2025-10-13,EUR,1.06174867
2025-10-14,EUR,1.05983209
2025-10-15,EUR,1.0657214
2025-10-16,EUR,1.06567825
2025-10-17,EUR,1.06229671
2025-10-18,EUR,1.06491807
2025-10-19,EUR,1.06101777
2025-10-20,EUR,1.0616826
2025-10-21,EUR,1.05544096
2025-10-22,EUR,1.05123549
2025-10-23,EUR,1.05185633
2025-10-24,EUR,1.05418661
2025-10-25,EUR,1.05472858
2025-10-26,EUR,1.05436264
2025-10-27,EUR,1.05341023
2025-10-28,EUR,1.04873776
2025-10-29,EUR,1.04647297
2025-10-30,EUR,1.04502684
2025-10-31,EUR,1.048341
2025-11-01,EUR,1.04942169
2025-11-02,EUR,1.04387117
2025-11-03,EUR,1.04488607
2025-11-04,EUR,1.04367897
2025-11-05,EUR,1.0415595
2025-11-06,EUR,1.0434708
2025-11-07,EUR,1.04669825
2025-11-08,EUR,1.04962256
2025-11-09,EUR,1.04697997
2025-11-10,EUR,1.04600876
2025-11-11,EUR,1.04704827
2025-11-12,EUR,1.0501126
2025-11-13,EUR,1.04860304
2025-11-14,EUR,1.04801899
2025-11-15,EUR,1.04454061
2025-11-16,EUR,1.04079215
2025-11-17,EUR,1.04332916
2025-11-18,EUR,1.04757418
2025-11-19,EUR,1.04734787
2025-11-20,EUR,1.05050101
2025-11-21,EUR,1.05164071
2025-11-22,EUR,1.04960541
2025-11-23,EUR,1.05074337
2025-11-24,EUR,1.05559162
2025-11-25,EUR,1.05547817
2025-11-26,EUR,1.06043251
2025-11-27,EUR,1.05209832
2025-11-28,EUR,1.05469249
2025-11-29,EUR,1.05496791
2025-11-30,EUR,1.05402158
2025-12-01,EUR,1.05431173
2025-12-02,EUR,1.04802518
2025-12-03,EUR,1.04733452
2025-12-04,EUR,1.04845657
2025-12-05,EUR,1.05310509
2025-12-06,EUR,1.05146771
2025-12-07,EUR,1.0489174
2025-12-08,EUR,1.04733849
2025-12-09,EUR,1.0502147
2025-12-10,EUR,1.05125048
2025-12-11,EUR,1.04957974
2025-12-12,EUR,1.05119589
2025-12-13,EUR,1.05150203
2025-12-14,EUR,1.05455763
2025-12-15,EUR,1.05233656
2025-12-16,EUR,1.05130213
2025-12-17,EUR,1.05006546
2025-12-18,EUR,1.0454551
2025-12-19,EUR,1.04638384
2025-12-20,EUR,1.04720333
2025-12-21,EUR,1.0472194
2025-12-22,EUR,1.0464824
2025-12-23,EUR,1.04203892
2025-12-24,EUR,1.04072393
2025-12-25,EUR,1.03965392
2025-12-26,EUR,1.03715165
2025-12-27,EUR,1.03664982
2025-12-28,EUR,1.03790639
2025-12-29,EUR,1.04377945
2025-12-30,EUR,1.04432611
2025-12-31,EUR,1.04513301
2026-01-01,EUR,1.04489959
2026-01-02,EUR,1.03888482
2026-01-03,EUR,1.03880219
2026-01-04,EUR,1.03898989
2026-01-05,EUR,1.04666774
2026-01-06,EUR,1.04606373
2026-01-07,EUR,1.04701004
2026-01-08,EUR,1.04690101
2026-01-09,EUR,1.04323054
2026-01-10,EUR,1.04680722
2026-01-11,EUR,1.04916861
2026-01-12,EUR,1.05165838
2026-01-13,EUR,1.04878929
2026-01-14,EUR,1.053203
2026-01-15,EUR,1.0487737
2026-01-16,EUR,1.05062014
2026-01-17,EUR,1.05752415
2026-01-18,EUR,1.0543816
2026-01-19,EUR,1.05259032
2026-01-20,EUR,1.05290499
2026-01-21,EUR,1.05131466
2026-01-22,EUR,1.04642395
2026-01-23,EUR,1.04663919
2026-01-24,EUR,1.04330364
2026-01-25,EUR,1.04478595
2026-01-26,EUR,1.04190414
2026-01-27,EUR,1.04674879
2026-01-28,EUR,1.04428918
2026-01-29,EUR,1.04328021
2026-01-30,EUR,1.04582638
2026-01-31,EUR,1.04196457
2026-02-01,EUR,1.04267559
2026-02-02,EUR,1.04676437
2026-02-03,EUR,1.0417164
2026-02-04,EUR,1.04229341
2026-02-05,EUR,1.04310603
2026-02-06,EUR,1.0455526
2026-02-07,EUR,1.04167271
2026-02-08,EUR,1.03754626
2026-02-09,EUR,1.03917088
2026-02-10,EUR,1.04009673
2026-02-11,EUR,1.04087834
2026-02-12,EUR,1.04196017
2026-02-13,EUR,1.03983449
2026-02-14,EUR,1.04055901
2026-02-15,EUR,1.04147389
2026-02-16,EUR,1.03924195
2026-02-17,EUR,1.04505893
2026-02-18,EUR,1.04654448
2026-02-19,EUR,1.04280422
2026-02-20,EUR,1.04485819
2026-02-21,EUR,1.04180298
2026-02-22,EUR,1.04426294
2026-02-23,EUR,1.04789257
2026-02-24,EUR,1.04531261
2026-02-25,EUR,1.0483337
2026-02-26,EUR,1.0496319
2026-02-27,EUR,1.05222048
2026-02-28,EUR,1.05820801
2026-03-01,EUR,1.057429
2026-03-02,EUR,1.05503793
2026-03-03,EUR,1.05222252
2026-03-04,EUR,1.04964727
2026-03-05,EUR,1.04940449
2026-03-06,EUR,1.05047851
2026-03-07,EUR,1.05135048
2026-03-08,EUR,1.05395946
2026-03-09,EUR,1.05400057
2026-03-10,EUR,1.05859664
2026-03-11,EUR,1.05775615
2026-03-12,EUR,1.06638798
2026-03-13,EUR,1.06838959
2026-03-14,EUR,1.06564225
2026-03-15,EUR,1.06221869
2026-03-16,EUR,1.06375616
2026-03-17,EUR,1.06304303
2026-03-18,EUR,1.06532007
2026-03-19,EUR,1.06683252
2026-03-20,EUR,1.06659943
2026-03-21,EUR,1.06388986
2026-03-22,EUR,1.05905497
2026-03-23,EUR,1.05763632
2026-03-24,EUR,1.0603536
2026-03-25,EUR,1.06103464
2026-03-26,EUR,1.05706933
2026-03-27,EUR,1.05761852
2026-03-28,EUR,1.05884107
2026-03-29,EUR,1.05603348
2026-03-30,EUR,1.0565205
2026-03-31,EUR,1.05670499
2026-04-01,EUR,1.05308165
2026-04-02,EUR,1.05421198
2026-04-03,EUR,1.05598554
2026-04-04,EUR,1.0594166
2026-04-05,EUR,1.06276585
2026-04-06,EUR,1.05837343
2026-04-07,EUR,1.05539572
2026-04-08,EUR,1.05702642
2026-04-09,EUR,1.05865567
2026-04-10,EUR,1.06029145
2026-04-11,EUR,1.0725465
2026-04-12,EUR,1.07438342
2026-04-13,EUR,1.07804352
2026-04-14,EUR,1.08112889
2026-04-15,EUR,1.0832416
2026-04-16,EUR,1.08221706
2026-04-17,EUR,1.08468117
2026-04-18,EUR,1.08216636
2026-04-19,EUR,1.08139753
2026-04-20,EUR,1.07982292
2026-04-21,EUR,1.08008815
2026-04-22,EUR,1.08758826
2026-04-23,EUR,1.08149581
2026-04-24,EUR,1.08372237
2026-04-25,EUR,1.07847916
2026-04-26,EUR,1.07695226
2026-04-27,EUR,1.0804705
2026-04-28,EUR,1.08067886
2026-04-29,EUR,1.07718477
2026-04-30,EUR,1.07487323
2026-05-01,EUR,1.07706467
2026-05-02,EUR,1.07470471
2026-05-03,EUR,1.0754026
2026-05-04,EUR,1.07554963
2026-05-05,EUR,1.07344714
2026-05-06,EUR,1.08035137
2026-05-07,EUR,1.08240594
2026-05-08,EUR,1.07582986
2026-05-09,EUR,1.07643164
2026-05-10,EUR,1.07429453
2026-05-11,EUR,1.07704183
2026-05-12,EUR,1.07448109
2026-05-13,EUR,1.07411125
2026-05-14,EUR,1.07573849
2026-05-15,EUR,1.07853246
2026-05-16,EUR,1.07464879
2026-05-17,EUR,1.07357037
2026-05-18,EUR,1.07204071
2026-05-19,EUR,1.06993953
2026-05-20,EUR,1.07560631
2026-05-21,EUR,1.07691312
2026-05-22,EUR,1.07283953
2026-05-23,EUR,1.07579368
2026-05-24,EUR,1.08264269
2026-05-25,EUR,1.08599606
2026-05-26,EUR,1.08104597
2026-05-27,EUR,1.07947554
2026-05-28,EUR,1.08357834
2026-05-29,EUR,1.08127789
2026-05-30,EUR,1.08271757
2026-05-31,EUR,1.0852337
2026-06-01,EUR,1.08221589
2026-06-02,EUR,1.08202263
2026-06-03,EUR,1.07150126
2026-06-04,EUR,1.06820836
2026-06-05,EUR,1.06739897
2026-06-06,EUR,1.06340332
2026-06-07,EUR,1.06861106
2026-06-08,EUR,1.06402626
2026-06-09,EUR,1.06262161
2026-06-10,EUR,1.06303839
2026-06-11,EUR,1.06763478
2026-06-12,EUR,1.06303585
2026-06-13,EUR,1.0667453
2026-06-14,EUR,1.06677805
2026-06-15,EUR,1.06363689
2026-06-16,EUR,1.06511143
2026-06-17,EUR,1.06574749
2026-06-18,EUR,1.06382845
2026-06-19,EUR,1.06405122
2026-06-20,EUR,1.06282124
2026-06-21,EUR,1.06318319
2026-06-22,EUR,1.06529509
2026-06-23,EUR,1.07036381
2026-06-24,EUR,1.06638907
2026-06-25,EUR,1.07321301
2026-06-26,EUR,1.06692799
2026-06-27,EUR,1.06644216
2026-06-28,EUR,1.06832437
2026-06-29,EUR,1.06922495
2026-06-30,EUR,1.06722753
2026-07-01,EUR,1.06656119
2026-07-02,EUR,1.06498374
2026-07-03,EUR,1.06310075
2026-07-04,EUR,1.06581039
2026-07-05,EUR,1.06695192
2026-07-06,EUR,1.06473402
2026-07-07,EUR,1.06760752
2026-07-08,EUR,1.06859174
2026-07-09,EUR,1.0711976
2026-07-10,EUR,1.07322097
2026-07-11,EUR,1.07055188
2026-07-12,EUR,1.06875278
2026-07-13,EUR,1.07114879
2026-07-14,EUR,1.07311018
2026-07-15,EUR,1.07304289
2026-07-16,EUR,1.07342059
2026-07-17,EUR,1.077535
2026-07-18,EUR,1.07562269
2026-07-19,EUR,1.0773881
2026-07-20,EUR,1.07673458
2026-07-21,EUR,1.07603142
2026-07-22,EUR,1.07957838
2026-07-23,EUR,1.08225168
2026-07-24,EUR,1.08489295
2026-07-25,EUR,1.08914186
2026-07-26,EUR,1.08921049
2026-07-27,EUR,1.09143886
2026-07-28,EUR,1.09042295
2026-07-29,EUR,1.09148339
2026-07-30,EUR,1.09105724
2026-07-31,EUR,1.09137472
2026-08-01,EUR,1.09332334
2026-08-02,EUR,1.0906396
2026-08-03,EUR,1.09748572
2026-08-04,EUR,1.09417345
2026-08-05,EUR,1.09018786
2026-08-06,EUR,1.09397553
2026-08-07,EUR,1.09657371
2026-08-08,EUR,1.09862689
2026-08-09,EUR,1.10069784
2026-08-10,EUR,1.1006574
2026-08-11,EUR,1.09769469
2026-08-12,EUR,1.09794432
2026-08-13,EUR,1.09571387
2026-08-14,EUR,1.09891922
2026-08-15,EUR,1.09843441
2026-08-16,EUR,1.09571415
2026-08-17,EUR,1.09465771
2026-08-18,EUR,1.09601376
2026-08-19,EUR,1.09416021
2026-08-20,EUR,1.09146129
2026-08-21,EUR,1.09225921
2026-08-22,EUR,1.09306192
2026-08-23,EUR,1.09139955
2026-08-24,EUR,1.08985728
2026-08-25,EUR,1.09061599
2026-08-26,EUR,1.08587807
2026-08-27,EUR,1.08129307
2026-08-28,EUR,1.07896253
2026-08-29,EUR,1.07827162
2026-08-30,EUR,1.07927735
2026-08-31,EUR,1.08405431
2026-09-01,EUR,1.08684355
2026-09-02,EUR,1.08632207
2026-09-03,EUR,1.0862601
2026-09-04,EUR,1.08299307
2026-09-05,EUR,1.08293292
2026-09-06,EUR,1.08199513
2026-09-07,EUR,1.08304267
2026-09-08,EUR,1.08035489
2026-09-09,EUR,1.08203813
2026-09-10,EUR,1.08701357
2026-09-11,EUR,1.0866589
2026-09-12,EUR,1.08796847
2026-09-13,EUR,1.09022104
2026-09-14,EUR,1.08890878
2025-09-14,GBP,1.27085379
2025-09-15,GBP,1.2709018
2025-09-16,GBP,1.27127421
2025-09-17,GBP,1.26832609
2025-09-18,GBP,1.26841935
2025-09-19,GBP,1.27031436
2025-09-20,GBP,1.27584459
2025-09-21,GBP,1.27951623
2025-09-22,GBP,1.28778133
2025-09-23,GBP,1.2848168
2025-09-24,GBP,1.28817911
2025-09-25,GBP,1.28888765
2025-09-26,GBP,1.29735488
2025-09-27,GBP,1.29420893
2025-09-28,GBP,1.2909486
2025-09-29,GBP,1.28862725
2025-09-30,GBP,1.28041652
2025-10-01,GBP,1.27839696
2025-10-02,GBP,1.27548554
2025-10-03,GBP,1.27606102
2025-10-04,GBP,1.27736932
2025-10-05,GBP,1.28455901
2025-10-06,GBP,1.28822164
2025-10-07,GBP,1.2859921
2025-10-08,GBP,1.28252603
2025-10-09,GBP,1.28441873
2025-10-10,GBP,1.27933153
2025-10-11,GBP,1.28636066
2025-10-12,GBP,1.29091222
2025-10-13,GBP,1.28909523
2025-10-14,GBP,1.28247005
2025-10-15,GBP,1.28767895
2025-10-16,GBP,1.28723648
2025-10-17,GBP,1.29201656
2025-10-18,GBP,1.28583648
2025-10-19,GBP,1.28352439
2025-10-20,GBP,1.28354458
2025-10-21,GBP,1.28372548
2025-10-22,GBP,1.2819922
2025-10-23,GBP,1.28438767
2025-10-24,GBP,1.28027395
2025-10-25,GBP,1.2797271
2025-10-26,GBP,1.28018894
2025-10-27,GBP,1.28216467
2025-10-28,GBP,1.28490189
2025-10-29,GBP,1.28056673
2025-10-30,GBP,1.27467312
2025-10-31,GBP,1.27955898
2025-11-01,GBP,1.28083463
2025-11-02,GBP,1.27795857
2025-11-03,GBP,1.28390549
2025-11-04,GBP,1.28435104
2025-11-05,GBP,1.28889493
2025-11-06,GBP,1.28915601
2025-11-07,GBP,1.29712588
2025-11-08,GBP,1.30395658
2025-11-09,GBP,1.30298266
2025-11-10,GBP,1.30678048
2025-11-11,GBP,1.30931058
2025-11-12,GBP,1.31468647
2025-11-13,GBP,1.31088075
2025-11-14,GBP,1.31357875
2025-11-15,GBP,1.31774972
2025-11-16,GBP,1.31079698
2025-11-17,GBP,1.30614395
2025-11-18,GBP,1.29815335
2025-11-19,GBP,1.29710416
2025-11-20,GBP,1.29989634
2025-11-21,GBP,1.30575507
2025-11-22,GBP,1.30604532
2025-11-23,GBP,1.31242645
2025-11-24,GBP,1.30699261
2025-11-25,GBP,1.30031368
2025-11-26,GBP,1.300097
2025-11-27,GBP,1.30159496
2025-11-28,GBP,1.3014673
2025-11-29,GBP,1.29339517
2025-11-30,GBP,1.29304937
2025-12-01,GBP,1.28798914
2025-12-02,GBP,1.29057673
2025-12-03,GBP,1.2919961
2025-12-04,GBP,1.28835314
2025-12-05,GBP,1.28636701
2025-12-06,GBP,1.2822794
2025-12-07,GBP,1.28203828
2025-12-08,GBP,1.28571187
2025-12-09,GBP,1.28190979
2025-12-10,GBP,1.28384822
2025-12-11,GBP,1.28180591
2025-12-12,GBP,1.27875698
2025-12-13,GBP,1.27834638
2025-12-14,GBP,1.27437619
2025-12-15,GBP,1.27225952
2025-12-16,GBP,1.26768748
2025-12-17,GBP,1.27515945
2025-12-18,GBP,1.27529435
2025-12-19,GBP,1.27261728
2025-12-20,GBP,1.27343423
2025-12-21,GBP,1.2730051
2025-12-22,GBP,1.27216122
2025-12-23,GBP,1.27450517
2025-12-24,GBP,1.27740151
2025-12-25,GBP,1.27536853
2025-12-26,GBP,1.27316538
2025-12-27,GBP,1.27211483
2025-12-28,GBP,1.2633299
2025-12-29,GBP,1.25758734
2025-12-30,GBP,1.26274423
2025-12-31,GBP,1.26897575
2026-01-01,GBP,1.26802769
2026-01-02,GBP,1.27022096
2026-01-03,GBP,1.27140703
2026-01-04,GBP,1.28315056
2026-01-05,GBP,1.28746031
2026-01-06,GBP,1.28696625
2026-01-07,GBP,1.283277
2026-01-08,GBP,1.27709246
2026-01-09,GBP,1.27787198
2026-01-10,GBP,1.27497242
2026-01-11,GBP,1.26953242
2026-01-12,GBP,1.26706988
2026-01-13,GBP,1.26295869
2026-01-14,GBP,1.26935106
2026-01-15,GBP,1.2727084
2026-01-16,GBP,1.27267796
2026-01-17,GBP,1.27832843
2026-01-18,GBP,1.27862514
2026-01-19,GBP,1.27532136
2026-01-20,GBP,1.28114878
2026-01-21,GBP,1.28322005
2026-01-22,GBP,1.279227
2026-01-23,GBP,1.27849655
2026-01-24,GBP,1.27513812
2026-01-25,GBP,1.26984834
2026-01-26,GBP,1.27337665
2026-01-27,GBP,1.28067087
2026-01-28,GBP,1.27529756
2026-01-29,GBP,1.27745142
2026-01-30,GBP,1.27495793
2026-01-31,GBP,1.27309473
2026-02-01,GBP,1.27083221
2026-02-02,GBP,1.26753825
2026-02-03,GBP,1.26772276
2026-02-04,GBP,1.26456252
2026-02-05,GBP,1.26558854
2026-02-06,GBP,1.2653978
2026-02-07,GBP,1.26449071
2026-02-08,GBP,1.26104789
2026-02-09,GBP,1.25886588
2026-02-10,GBP,1.26171869
2026-02-11,GBP,1.26361474
2026-02-12,GBP,1.25990898
2026-02-13,GBP,1.26028443
2026-02-14,GBP,1.26312532
